"","siteID","time","abundance","richness","mean_humid","min_humid","max_humid","mean_tempt","min_tempt","max_tempt"
"1","CPER",2013-07-01,0.304878048780488,13,NA,NA,NA,NA,NA,NA
"2","DSNY",2013-07-01,0,NA,NA,NA,NA,NA,NA,NA
"3","OSBS",2013-07-08,0,NA,NA,NA,NA,NA,NA,NA
"4","STER",2013-07-08,0.116071428571429,6,NA,NA,NA,NA,NA,NA
"5","CPER",2013-07-15,0.492857142857143,12,NA,NA,NA,NA,NA,NA
"6","DSNY",2013-07-15,0,NA,NA,NA,NA,NA,NA,NA
"7","HARV",2013-07-15,0.187353629976581,26,NA,NA,NA,NA,NA,NA
"8","OSBS",2013-07-22,0,NA,NA,NA,NA,NA,NA,NA
"9","STER",2013-07-22,0.0952380952380952,7,NA,NA,NA,NA,NA,NA
"10","CPER",2013-07-29,0.219642857142857,13,NA,NA,NA,NA,NA,NA
"11","DSNY",2013-07-29,0,NA,NA,NA,NA,NA,NA,NA
"12","HARV",2013-07-29,0.158730158730159,19,NA,NA,NA,NA,NA,NA
"13","OSBS",2013-08-05,0,NA,NA,NA,NA,NA,NA,NA
"14","STER",2013-08-05,0.208333333333333,7,NA,NA,NA,NA,NA,NA
"15","CPER",2013-08-12,0.0375,8,NA,NA,NA,NA,NA,NA
"16","DSNY",2013-08-12,0,NA,NA,NA,NA,NA,NA,NA
"17","HARV",2013-08-12,0.150579150579151,22,NA,NA,NA,NA,NA,NA
"18","OSBS",2013-08-19,0,NA,NA,NA,NA,NA,NA,NA
"19","STER",2013-08-19,0.148809523809524,12,NA,NA,NA,NA,NA,NA
"20","CPER",2013-08-26,0.0589285714285714,12,NA,NA,NA,NA,NA,NA
"21","HARV",2013-08-26,0.183035714285714,15,NA,NA,NA,NA,NA,NA
"22","OSBS",2013-09-02,0,NA,NA,NA,NA,NA,NA,NA
"23","STER",2013-09-02,0.154761904761905,7,NA,NA,NA,NA,NA,NA
"24","CPER",2013-09-09,0.0625,11,NA,NA,NA,NA,NA,NA
"25","DSNY",2013-09-09,0,NA,NA,NA,NA,NA,NA,NA
"26","HARV",2013-09-09,0.228021978021978,11,NA,NA,NA,NA,NA,NA
"27","STER",2013-09-16,0.178571428571429,8,NA,NA,NA,NA,NA,NA
"28","CPER",2013-09-23,0.00892857142857143,2,NA,NA,NA,NA,NA,NA
"29","DSNY",2013-09-23,0,NA,NA,NA,NA,NA,NA,NA
"30","HARV",2013-09-23,0.168571428571429,14,NA,NA,NA,NA,NA,NA
"31","CPER",2013-09-30,0.142857142857143,1,NA,NA,NA,NA,NA,NA
"32","CPER",2013-10-14,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"33","CPER",2013-10-28,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"34","STER",2014-03-24,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"35","WOOD",2014-04-07,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"36","DSNY",2014-04-14,0.0321428571428571,4,NA,NA,NA,NA,NA,NA
"37","OSBS",2014-04-14,0.0306122448979592,9,NA,NA,NA,NA,NA,NA
"38","DSNY",2014-04-28,0.0266666666666667,7,NA,NA,NA,NA,NA,NA
"39","OSBS",2014-04-28,0.0204081632653061,6,NA,NA,NA,NA,NA,NA
"40","DSNY",2014-05-12,0.0571992110453649,11,NA,NA,NA,NA,NA,NA
"41","OSBS",2014-05-12,0.0146103896103896,5,NA,NA,NA,NA,NA,NA
"42","HARV",2014-05-19,0.185714285714286,10,NA,NA,NA,NA,NA,NA
"43","DSNY",2014-05-26,0.0557324840764331,10,NA,NA,NA,NA,NA,NA
"44","OSBS",2014-05-26,0.0240740740740741,7,NA,NA,NA,NA,NA,NA
"45","CPER",2014-06-02,0.0946428571428571,12,NA,NA,NA,16.93635,9.0252,29.7399
"46","HARV",2014-06-02,0.0410714285714286,10,NA,NA,NA,NA,NA,NA
"47","ORNL",2014-06-02,0.126666666666667,13,NA,NA,NA,NA,NA,NA
"48","OSBS",2014-06-02,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"49","TALL",2014-06-02,0.0813492063492064,8,NA,NA,NA,NA,NA,NA
"50","WOOD",2014-06-02,0.140692640692641,27,NA,NA,NA,NA,NA,NA
"51","DSNY",2014-06-09,0.0769230769230769,8,NA,NA,NA,NA,NA,NA
"52","OSBS",2014-06-09,0.0170940170940171,5,NA,NA,NA,NA,NA,NA
"53","SCBI",2014-06-09,0.408273381294964,30,NA,NA,NA,NA,NA,NA
"54","CPER",2014-06-16,0.0714285714285714,8,NA,NA,NA,18.8744142857143,6.9024,29.1446
"55","DSNY",2014-06-16,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"56","HARV",2014-06-16,0.0303571428571429,6,NA,NA,NA,NA,NA,NA
"57","JERC",2014-06-16,0.0267857142857143,2,NA,NA,NA,NA,NA,NA
"58","ORNL",2014-06-16,0.12781954887218,24,NA,NA,NA,NA,NA,NA
"59","TALL",2014-06-16,0.0571428571428571,9,NA,NA,NA,NA,NA,NA
"60","WOOD",2014-06-16,0.0757575757575758,21,NA,NA,NA,NA,NA,NA
"61","BART",2014-06-23,0.177142857142857,12,NA,NA,NA,NA,NA,NA
"62","DSNY",2014-06-23,0.0416666666666667,10,NA,NA,NA,NA,NA,NA
"63","OSBS",2014-06-23,0.0354938271604938,8,NA,NA,NA,NA,NA,NA
"64","SCBI",2014-06-23,0.330882352941176,25,NA,NA,NA,NA,NA,NA
"65","STER",2014-06-23,0.555357142857143,21,NA,NA,NA,NA,NA,NA
"66","CPER",2014-06-30,0.133928571428571,10,NA,NA,NA,20.6368285714286,9.3791,33.1231
"67","HARV",2014-06-30,0.113945578231293,12,NA,NA,NA,NA,NA,NA
"68","JERC",2014-06-30,0.024390243902439,7,NA,NA,NA,NA,NA,NA
"69","ONAQ",2014-06-30,0.0321428571428571,5,NA,NA,NA,NA,NA,NA
"70","ORNL",2014-06-30,0.139492753623188,20,NA,NA,NA,NA,NA,NA
"71","TALL",2014-06-30,0.0589285714285714,8,NA,NA,NA,NA,NA,NA
"72","WOOD",2014-06-30,0.104081632653061,23,NA,NA,NA,NA,NA,NA
"73","BART",2014-07-07,0.257763975155279,13,NA,NA,NA,NA,NA,NA
"74","DSNY",2014-07-07,0.0335305719921105,8,NA,NA,NA,NA,NA,NA
"75","OSBS",2014-07-07,0.0333333333333333,4,NA,NA,NA,NA,NA,NA
"76","SCBI",2014-07-07,0.348214285714286,26,NA,NA,NA,NA,NA,NA
"77","STER",2014-07-07,0.623214285714286,29,NA,NA,NA,NA,NA,NA
"78","CPER",2014-07-14,0.1375,13,NA,NA,NA,19.5516,11.7764,34.0586
"79","HARV",2014-07-14,0.0964285714285714,13,NA,NA,NA,NA,NA,NA
"80","JERC",2014-07-14,0.0115830115830116,3,NA,NA,NA,NA,NA,NA
"81","ONAQ",2014-07-14,0.0400696864111498,4,NA,NA,NA,NA,NA,NA
"82","ORNL",2014-07-14,0.169642857142857,23,NA,NA,NA,NA,NA,NA
"83","TALL",2014-07-14,0.0785714285714286,10,NA,NA,NA,NA,NA,NA
"84","WOOD",2014-07-14,0.179442508710801,22,NA,NA,NA,NA,NA,NA
"85","BART",2014-07-21,0.285714285714286,14,NA,NA,NA,NA,NA,NA
"86","OSBS",2014-07-21,0.0734126984126984,5,NA,NA,NA,NA,NA,NA
"87","SCBI",2014-07-21,0.283928571428571,23,NA,NA,NA,NA,NA,NA
"88","STER",2014-07-21,1.64107142857143,31,NA,NA,NA,NA,NA,NA
"89","CPER",2014-07-28,0.289285714285714,13,NA,NA,NA,20.2505833333333,12.3191,28.8561
"90","HARV",2014-07-28,0.0410714285714286,7,NA,NA,NA,NA,NA,NA
"91","JERC",2014-07-28,0.0232142857142857,6,NA,NA,NA,NA,NA,NA
"92","ONAQ",2014-07-28,0.0178571428571429,3,NA,NA,NA,NA,NA,NA
"93","ORNL",2014-07-28,0.110714285714286,18,NA,NA,NA,NA,NA,NA
"94","TALL",2014-07-28,0.0660714285714286,8,NA,NA,NA,NA,NA,NA
"95","WOOD",2014-07-28,0.199579831932773,21,NA,NA,NA,NA,NA,NA
"96","BART",2014-08-04,0.241379310344828,9,NA,NA,NA,NA,NA,NA
"97","DSNY",2014-08-04,0.0401785714285714,13,NA,NA,NA,NA,NA,NA
"98","OSBS",2014-08-04,0.0257936507936508,5,NA,NA,NA,27.3457,22.9781,33.1284
"99","SCBI",2014-08-04,0.248214285714286,20,NA,NA,NA,NA,NA,NA
"100","STER",2014-08-04,1.69821428571429,33,NA,NA,NA,NA,NA,NA
"101","CPER",2014-08-11,0.2,14,NA,NA,NA,23.3584,12.1024,32.6581
"102","HARV",2014-08-11,0.15,10,NA,NA,NA,NA,NA,NA
"103","JERC",2014-08-11,0.00535714285714286,3,NA,NA,NA,NA,NA,NA
"104","ONAQ",2014-08-11,0.0625,5,NA,NA,NA,NA,NA,NA
"105","ORNL",2014-08-11,0.0892857142857143,16,NA,NA,NA,NA,NA,NA
"106","TALL",2014-08-11,0.0392857142857143,7,NA,NA,NA,NA,NA,NA
"107","UNDE",2014-08-11,0.0714285714285714,1,NA,NA,NA,NA,NA,NA
"108","WOOD",2014-08-11,0.214285714285714,20,NA,NA,NA,NA,NA,NA
"109","BART",2014-08-18,0.267857142857143,9,NA,NA,NA,NA,NA,NA
"110","DSNY",2014-08-18,0.0662020905923345,10,NA,NA,NA,NA,NA,NA
"111","OSBS",2014-08-18,0.0535714285714286,4,NA,NA,NA,27.2842285714286,21.4453,35.4588
"112","SCBI",2014-08-18,0.501742160278746,18,NA,NA,NA,NA,NA,NA
"113","STER",2014-08-18,1.32678571428571,24,NA,NA,NA,NA,NA,NA
